ym,redemption,delta,signal
2014-11-30,0.03755483674786425,,False
2014-12-31,0.0440584807259834,0.006503643978119152,True
2015-01-31,0.038172907296122945,-0.005885573429860458,False
2015-02-28,0.038172907296122945,0.0,False
2015-03-31,0.12351989167727538,0.08534698438115243,True
2015-04-30,0.13071807353817969,0.007198181860904304,True
2015-05-31,0.0790385421294376,-0.05167953140874208,False
2015-06-30,0.04924530529573699,-0.029793236833700616,False
2015-07-31,0.0645191796958107,0.01527387440007371,True
2015-08-31,0.09144342593553496,0.026924246239724267,True
2015-09-30,0.030422272866669414,-0.06102115306886555,False
2015-10-31,0.04223867822568009,0.011816405359010674,True
2015-11-30,0.06082208045737164,0.018583402231691554,True
2015-12-31,0.08016494968217824,0.019342869224806603,True
2016-01-31,0.05186467004074027,-0.028300279641437977,False
2016-02-29,0.05186467004074027,0.0,False
2016-03-31,0.07072030804189917,0.018855638001158907,True
2016-04-30,0.05316276442211045,-0.017557543619788722,False
2016-05-31,0.08054186379042243,0.027379099368311975,True
2016-06-30,0.08558658004865906,0.005044716258236631,True
2016-07-31,0.07611491311356607,-0.009471666935092993,False
2016-08-31,0.15513465327243853,0.07901974015887246,True
2016-09-30,0.06218811622180748,-0.09294653705063105,False
2016-10-31,0.04241404950162698,-0.0197740667201805,False
2016-11-30,0.09211139876879762,0.04969734926717064,True
2016-12-31,0.07824861142542854,-0.013862787343369085,False
2017-01-31,0.031113101212964327,-0.047135510212464204,False
2017-02-28,0.031113101212964327,0.0,False
2017-03-31,0.10159887057072706,0.07048576935776273,True
2017-04-30,0.0707745748688653,-0.03082429570186175,False
2017-05-31,0.14343398528820459,0.07265941041933928,True
2017-06-30,0.12093415879448788,-0.022499826493716707,False
2017-07-31,0.057228494362394626,-0.06370566443209325,False
2017-08-31,1.0779282544995397,1.020699760137145,True
2017-09-30,0.09044770809753085,-0.9874805464020088,False
2017-10-31,0.10682346250228174,0.016375754404750892,True
2017-11-30,0.11498745342736451,0.00816399092508277,True
2017-12-31,0.09314222932892453,-0.021845224098439975,False
2018-01-31,0.12000384124866387,0.026861611919739334,True
2018-02-28,0.12000384124866387,0.0,False
2018-03-31,0.09441131159151116,-0.02559252965715271,False
2018-04-30,0.03732028483107675,-0.057091026760434406,False
2018-05-31,0.052493828884779194,0.015173544053702442,True
2018-06-30,0.09031792299009121,0.03782409410531202,True
2018-07-31,0.04872604912939316,-0.04159187386069805,False
2018-08-31,0.054133546093942914,0.00540749696454975,True
2018-09-30,0.06061682962485376,0.006483283530910849,True
2018-10-31,0.064404323467057,0.0037874938422032406,True
2018-11-30,0.0471701300462542,-0.017234193420802804,False
2018-12-31,0.02349421969034252,-0.02367591035591168,False
2019-01-31,0.04516873688294426,0.02167451719260174,True
2019-02-28,0.04516873688294426,0.0,False
2019-03-31,0.060709273394276536,0.015540536511332276,True
2019-04-30,0.05152691765157162,-0.009182355742704915,False
2019-05-31,0.08758040211960738,0.03605348446803576,True
2019-06-30,0.05646146197856924,-0.031118940141038144,False
2019-07-31,0.05010100779895654,-0.006360454179612694,False
2019-08-31,0.06056097254643397,0.01045996474747743,True
2019-09-30,0.04596118379769865,-0.01459978874873532,False
2019-10-31,0.030753865187039695,-0.015207318610658958,False
2019-11-30,0.04068697201509215,0.009933106828052457,True
2019-12-31,0.045125429212158216,0.004438457197066065,True
2020-01-31,0.06323416974119792,0.0181087405290397,True
2020-02-29,0.06323416974119792,0.0,False
2020-03-31,0.11443752922606136,0.051203359484863445,True
